uniprot_id	database	sequence_length
A1B4Z2	AF	217
A1B853	AF	313
A1BJY3	AF	512
A1CNV8	AF	826
A1CQG2	AF	815
A1CRM1	AF	754
A1CTZ6	AF	935
A1CZ18	AF	812
A1EA45	AF	123
A1JIG3	AF	387
A1JJD5	AF	635
A1JMT1	AF	151
A1JRK0	AF	150
A1JTL6	AF	454
A1K1B4	AF	480
A1K3J8	AF	695
A1K5A6	AF	242
A1K7I0	AF	277
A1KA92	AF	320
A1KAH5	AF	873
A1KB18	AF	89
A1KEM4	AF	152
A1KGG3	AF	156
A1KJP4	AF	941
A1KMP2	AF	128
A1KPC9	AF	151
A1KTL1	AF	91
A1KV41	AF	177
A1KW08	AF	687
A1KW52	AF	544
A1KWE0	AF	900
A1R7G2	AF	117
A1R8M1	AF	537
A1R8P8	AF	323
A1REC8	AF	130
A1RFJ9	AF	144
A1RGG0	AF	205
A1RGP1	AF	350
A1RGU0	AF	156
A1RJG1	AF	95
A1RJQ2	AF	334
A1RPD7	AF	310
A1S242	AF	206
A1S2D4	AF	57
A1S3Z0	AF	83
A1S477	AF	236
A1S547	AF	174
A1S8K1	AF	270
A1S8L2	AF	379
A1SHH9	AF	357
A1SHV9	AF	848
A1SJA7	AF	360
A1SMB6	AF	102
A1SV89	AF	363
A1SW96	AF	690
A1T520	AF	350
A1T7G4	AF	518
A1TDH1	AF	143
A1TJ03	AF	157
A1TRI4	AF	709
A1TXW9	AF	313
A1TYU8	AF	561
A1TZ54	AF	218
A1TZV5	AF	92
A1U374	AF	196
A1U5I2	AF	90
A1UBQ6	AF	61
A1UEC0	AF	227
A1UER5	AF	192
A1UFP1	AF	261
A1UHA0	AF	290
A1USM1	AF	137
A1UU77	AF	88
A1V051	AF	142
A1V1L0	AF	427
A1V6J4	AF	84
A1V878	AF	207
A1V890	AF	101
A1V8G8	AF	218
A1V8H4	AF	251
A1VEC0	AF	156
A1VL83	AF	464
A1W057	AF	125
A1W428	AF	216
A1W4B9	AF	436
A1W4G1	AF	208
A1WSF1	AF	421
A1WZI8	AF	148
A1YGK9	AF	100
A1YKT1	AF	433
A1Z9S1	AF	147
A1ZBY1-3	AF	702
A2AEY4	AF	876
A2AG06-2	AF	909
A2AGX3	AF	565
A2AHG0-3	AF	591
A2AHG0	AF	700
A2AI05-3	AF	466
A2AI05	AF	598
A2AJB1	AF	534
A2AJT9-2	AF	682
A2AJT9-3	AF	625
A2BIX4	AF	292
A2BPL5	AF	147
A2BSS0	AF	307
A2BTH0	AF	347
A2BUH2	AF	402
A2BUN8	AF	433
A2BUP7	AF	517
A2BXM3	AF	510
A2C409	AF	426
A2C5S6	AF	679
A2C9U0	AF	878
A2Q5W1	AF	268
A2QI77	AF	801
A2R0B5	AF	440
A2R702	AF	138
A2R797	AF	793
A2RK24	AF	401
A2RNK1	AF	763
A2RRH5-4	AF	895
A2RRH5	AF	827
A2RV06	AF	624
A2S7K0	AF	133
A2SAW7	AF	891
A2SDN9	AF	163
A2SES9	AF	117
A2SG95	AF	534
A2SHB1	AF	446
A2SIX7	AF	293
A2SKU2	AF	214
A2T331	AF	100
A2VD33	AF	831
A2VE39	AF	835
A2XKG2	AF	472
A2YFR6	AF	968
A2YMV6	AF	704
A3AGM4	AF	152
A3BH85	AF	728
A3BK75	AF	482
A3CLN5	AF	450
A3CMU9	AF	279
A3CU65	AF	415
A3CWX7	AF	585
A3D0G0	AF	416
A3D481	AF	334
A3D4A9	AF	95
A3D574	AF	174
A3DE08	AF	312
A3DJJ6	AF	72
A3DMF7	AF	121
A3GGB4	AF	839
A3KGV1-2	AF	806
A3KGV1-3	AF	825
A3KGV1-4	AF	826
A3KGV1-5	AF	652
A3KGV1-6	AF	638
A3KGV1-7	AF	610
A3KGV1	AF	830
A3KQH2	AF	346
A3LQ01	AF	647
A3LSN3	AF	741
A3LY92	AF	497
A3M658	AF	242
A3M6Q6	AF	148
A3M795	AF	357
A3M8A0	AF	103
A3M8T4	AF	623
A3M8W8	AF	184
A3MAE3	AF	246
A3MKU3	AF	246
A3MP59	AF	142
A3MQ23	AF	249
A3MRU2	AF	232
A3MSF6	AF	94
A3N048	AF	269
A3N2D9	AF	451
A3N2F7	AF	166
A3N2L0	AF	461
A3N2R5	AF	101
A3NAZ3	AF	469
A3NB64	AF	891
A3NC95	AF	243
A3NDS2	AF	578
A3NER1	AF	473
A3NX26	AF	367
A3NYC8	AF	101
A3P0C8	AF	232
A3PA84	AF	528
A3PEZ9	AF	156
A3PF46	AF	210
A3PF64	AF	989
A3PGM8	AF	187
A3PP56	AF	147
A3PVC2	AF	219
A3PVQ7	AF	540
A3Q0D7	AF	100
A3Q146	AF	382
A3Q4B8	AF	313
A3Q981	AF	103
A3Q9C7	AF	261
A3Q9V2	AF	581
A3QDZ8	AF	95
A3QEP7	AF	592
A3QGV3	AF	209
A4D161	AF	298
A4FBF8	AF	148
A4FW91	AF	159
A4G352	AF	283
A4G3W7	AF	431
A4G7Y7	AF	453
A4GDR9	AF	134
A4GDS9	AF	134
A4GDU0	AF	134
A4II46-2	AF	870
A4IKB1	AF	94
A4IQR5	AF	149
A4IQV4	AF	448
A4IXU1	AF	813
A4IZB5	AF	287
A4IZU4	AF	249
A4J108	AF	692
A4J138	AF	208
A4J3F5	AF	284
A4J898	AF	314
A4JA71	AF	372
A4JAR3	AF	121
A4JBC2	AF	578
A4JCH1	AF	360
A4JM71	AF	328
A4Q998	AF	353
A4QLX0	AF	135
A4QNW7	AF	377
A4QX49	AF	825
A4RK80	AF	674
A4SIV8	AF	173
A4SK35	AF	489
A4SK64	AF	362
A4SM83	AF	362
A4SR75	AF	955
A4ST06	AF	210
A4STS7	AF	119
A4SUV8	AF	700
A4SXD4	AF	196
A4SYU1	AF	355
A4T011	AF	294
A4T9W6	AF	307
A4TB65	AF	615
A4TEB7	AF	138
A4TH21	AF	429
A4THG8	AF	284
A4TNE3	AF	94
A4TPM9	AF	346
A4TQB3	AF	968
A4TQU9	AF	476
A4TRP1	AF	635
A4TS32	AF	234
A4VHN5	AF	110
A4VHN8	AF	63
A4VHP2	AF	179
A4VJR9	AF	900
A4VSH7	AF	127
A4VT25	AF	445
A4W691	AF	529
A4W8C2	AF	673
A4W8V0	AF	400
A4WBC7	AF	418
A4WDH8	AF	197
A4WFL3	AF	431
A4WQD6	AF	470
A4WVX3	AF	408
A4X4C9	AF	195
A4XK62	AF	787
A4XLK2	AF	141
A4XLR2	AF	147
A4XQN4	AF	421
A4XWU3	AF	899
A4Y198	AF	630
A4Y1A9	AF	689
A4Y1B0	AF	301
A4Y1B6	AF	716
A4YAM5	AF	218
A4YIL8	AF	566
A4YWG4	AF	317
A5CSZ4	AF	944
A5CX05	AF	365
A5CXX6	AF	815
A5D3C3	AF	154
A5D7C1	AF	596
A5DIP0	AF	547
A5DLR3	AF	914
A5E406	AF	770
A5E8G8	AF	625
A5E964	AF	378
A5EDA7	AF	345
A5EVG5	AF	258
A5EXS3	AF	426
A5EY93	AF	200
A5F2T4	AF	264
A5F3G1	AF	422
A5F3L5	AF	653
A5F465	AF	723
A5F546	AF	274
A5F5B4	AF	419
A5F9G1	AF	341
A5FIR0	AF	437
A5FRN4	AF	413
A5FZC1	AF	556
A5FZW5	AF	227
A5G029	AF	225
A5G6A4	AF	69
A5G7R3	AF	128
A5G8G3	AF	301
A5G962	AF	352
A5G9J7	AF	346
A5GAW5	AF	211
A5GL71	AF	878
A5GTA8	AF	301
A5GTK8	AF	307
A5GW13	AF	691
A5GWT1	AF	359
A5HXP7	AF	448
A5I768	AF	478
A5I7I7	AF	146
A5I815	AF	625
A5IAB4	AF	310
A5IAT1	AF	618
A5IAV2	AF	160
A5IIK7	AF	440
A5IJW7	AF	141
A5IKK4	AF	672
A5IQA1	AF	693
A5IT93	AF	463
A5ITC3	AF	268
A5IUS3	AF	176
A5IYV3	AF	258
A5LHX3	AF	300
A5N0V1	AF	418
A5N3V4	AF	230
A5N4Q2	AF	111
A5N5D7	AF	544
A5N827	AF	258
A5PF62	AF	675
A5TYB2	AF	969
A5TZ77	AF	625
A5U2C3	AF	301
A5U6N7	AF	185
A5U7Y3	AF	207
A5UBT4	AF	151
A5UEZ1	AF	117
A5UFQ1	AF	314
A5UGV2	AF	109
A5UH49	AF	149
A5UHC0	AF	156
A5UHT9	AF	85
A5UHU1	AF	123
A5UIK7	AF	424
A5UJW5	AF	224
A5USF9	AF	146
A5UWC5	AF	249
A5V0S2	AF	544
A5V5Y8	AF	131
A5V883	AF	199
A5VIN9	AF	410
A5VJH2	AF	461
A5VLG3	AF	490
A5VP50	AF	200
A5VQV8	AF	155
A5VSE9	AF	877
A5VV55	AF	511
A5VX72	AF	197
A5VXL5	AF	277
A5VY49	AF	92
A5VZ54	AF	421
A5VZJ1	AF	188
A5W140	AF	171
A5W717	AF	60
A5WB00	AF	78
A5WGY8	AF	739
A6H0Q2	AF	157
A6H8T2	AF	731
A6KXU8	AF	417
A6KZP0	AF	623
A6L078	AF	304
A6L0Y7	AF	84
A6L3G7	AF	875
A6LCP4	AF	182
A6LDP9	AF	358
A6LEJ3	AF	708
A6LJ40	AF	564
A6LK89	AF	60
A6LSV5	AF	795
A6LSX2	AF	499
A6LTP1	AF	599
A6LTR5	AF	119
A6M229	AF	339
A6M2Y4	AF	304
A6NC57-2	AF	639
A6NFD8	AF	242
A6NFN3-2	AF	325
A6NI28	AF	874
A6NIH7	AF	251
A6NMB9	AF	653
A6NNA2	AF	597
A6P6V9	AF	544
A6P6W1	AF	545
A6Q4L2	AF	163
A6QHK6	AF	448
A6QJ93	AF	102
A6QLD2	AF	759
A6QP29	AF	925
A6QQV6	AF	695
A6R603	AF	442
A6RC73	AF	243
A6RHT9	AF	440
A6RMY2	AF	296
A6RSP5	AF	475
A6S9V4	AF	885
A6SUD4	AF	221
A6SZP0	AF	156
A6T4J7	AF	968
A6T561	AF	417
A6TBG6	AF	213
A6TEB3	AF	98
A6TEW2	AF	123
A6TF50	AF	658
A6TGC1	AF	444
A6TGE3	AF	258
A6TGN9	AF	121
A6TL31	AF	570
A6TLR3	AF	510
A6TSX0	AF	507
A6U143	AF	62
A6U2W8	AF	429
A6U850	AF	125
A6U8M9	AF	585
A6UF72	AF	67
A6UTK4	AF	456
A6UWL8	AF	344
A6VBA6	AF	142
A6VH11	AF	179
A6VK86	AF	455
A6VMB8	AF	860
A6VQP2	AF	152
A6VSP6	AF	188
A6VV10	AF	445
A6VXD2	AF	200
A6VYC5	AF	331
A6W0S5	AF	674
A6WSF1	AF	416
A6WU05	AF	206
A6WUK0	AF	206
A6WVR5	AF	206
A6WY76	AF	346
A6X3A0	AF	527
A6YGA1	AF	115
A6ZPJ1	AF	765
A6ZQG7	AF	855
A6ZVR0	AF	99
A6ZX64	AF	654
A7DTF0	AF	337
A7DY56	AF	273
A7FCR5	AF	567
A7FDU0	AF	182
A7FFG0	AF	281
A7FKY8	AF	233
A7FLE8	AF	156
A7FM96	AF	968
A7FNM9	AF	232
A7FPP5	AF	813
A7FUL0	AF	932
A7FZB0	AF	557
A7FZD1	AF	159
A7GD74	AF	157
A7GDQ5	AF	242
A7GGE1	AF	206
A7GGL3	AF	461
A7GHH6	AF	623
A7GHT9	AF	197
A7GJ85	AF	229
A7GJF6	AF	257
A7GJT0	AF	424
A7GK23	AF	276
A7GK30	AF	122
A7GKK3	AF	485
A7GSN7	AF	447
A7GU98	AF	478
A7GUA1	AF	645
A7GX27	AF	452
A7GYH0	AF	194
A7GYS1	AF	474
A7GZ44	AF	86
A7GZ81	AF	821
A7H2V3	AF	431
A7H4T6	AF	312
A7H724	AF	249
A7HAD3	AF	547
A7HBM0	AF	97
A7HM55	AF	691
A7HPK8	AF	66
A7HST0	AF	333
A7HTY3	AF	355
A7HWQ8	AF	691
A7HX41	AF	141
A7INH1	AF	153
A7LXS8	AF	747
A7MBD1	AF	525
A7MFI9	AF	432
A7MGD2	AF	259
A7MHB0	AF	81
A7MJ67	AF	471
A7MJB9	AF	142
A7MKS3	AF	689
A7MMG7	AF	269
A7MMW3	AF	629
A7MNS2	AF	419
A7MP70	AF	292
A7MPR2	AF	483
A7MU26	AF	517
A7N1I9	AF	245
A7NI71	AF	218
A7NLR3	AF	938
A7S2N8	AF	790
A7SCE5	AF	85
A7TIN6	AF	810
A7TJK8	AF	872
A7WM73	AF	541
A7X1N1	AF	467
A7XGN8	AF	910
A7Y3I1	AF	337
A7YW45	AF	637
A7Z235	AF	513
A7Z4G9	AF	304
A7ZD34	AF	427
A7ZGB4	AF	280
A7ZHS0	AF	151
A7ZIN1	AF	109
A7ZP32	AF	548
A7ZPV7	AF	424
A7ZRX6	AF	470
A7ZU51	AF	729
A7ZUI5	AF	366
A7ZYL1	AF	427
A8A2B9	AF	200
A8A5P0	AF	431
A8A9U3	AF	441
A8ACL6	AF	119
A8AD93	AF	208
A8ADX8	AF	419
A8AJ02	AF	161
A8AV42	AF	89
A8AX12	AF	66
A8AXN4	AF	237
A8EWV5	AF	260
A8EX12	AF	185
A8EX98	AF	189
A8F0A0	AF	209
A8F164	AF	891
A8F2E8	AF	105
A8F2R3	AF	317
A8F5H5	AF	478
A8F754	AF	199
A8F972	AF	166
A8FBU5	AF	163
A8FD38	AF	317
A8FD80	AF	466
A8FKU4	AF	608
A8FMV1	AF	600
A8FMZ1	AF	208
A8FQY1	AF	549
A8FUW6	AF	595
A8FW35	AF	95
A8FYU6	AF	424
A8G1D8	AF	122
A8G1E9	AF	103
A8G1X6	AF	632
A8G2N2	AF	365
A8G2U2	AF	201
A8G910	AF	89
A8GB71	AF	245
A8GDA2	AF	420
A8GFQ3	AF	490
A8GIF0	AF	129
A8GIR9	AF	959
A8GM32	AF	295
A8GPD4	AF	118
A8GRQ8	AF	80
A8GRV2	AF	314
A8GS50	AF	338
A8GT57	AF	179
A8GVD9	AF	87
A8GW63	AF	419
A8GYZ5	AF	144
A8H0D3	AF	283
A8H0Q6	AF	219
A8H6B7	AF	314
A8H998	AF	201
A8HQP5	AF	181
A8HTX8	AF	232
A8I266	AF	625
A8I438	AF	440
A8I6A9	AF	537
A8IA58	AF	693
A8IM99	AF	206
A8LE32	AF	64
A8LLK0	AF	232
A8LM50	AF	98
A8LX89	AF	142
A8LYE7	AF	584
A8M543	AF	143
A8M746	AF	995
A8M8F2	AF	141
A8MBK0	AF	512
A8MGL7	AF	410
A8MGN2	AF	172
A8MHU4	AF	790
A8MIB3	AF	305
A8MS68-2	AF	570
A8MS68	AF	623
A8PD13	AF	448
A8W3I5	AF	100
A8WFU8	AF	634
A8WT19	AF	935
A8X4H1	AF	904
A8YTF1	AF	170
A8YYU7	AF	159
A8Z066	AF	459
A8Z245	AF	242
A8ZRY3	AF	418
A8ZVD2	AF	259
A8ZWU1	AF	173
A8ZZ71	AF	116
A9A135	AF	636
A9A413	AF	222
A9A428	AF	207
A9AC51	AF	499
A9AH01	AF	79
A9AJ18	AF	503
A9AW39	AF	552
A9B543	AF	414
A9BAE4	AF	872
A9BDD8	AF	606
A9BDJ2	AF	363
A9BDN4	AF	256
A9BRX2	AF	121
A9C178	AF	130
A9ESS9	AF	65
A9ETZ9	AF	811
A9GBF1	AF	804
A9H3P2	AF	138
A9H3R9	AF	123
A9ILH7	AF	630
A9IMA1	AF	242
A9IYY8	AF	886
A9KD13	AF	63
A9KLU2	AF	454
A9KP49	AF	336
A9KSW9	AF	428
A9L330	AF	962
A9L3D8	AF	360
A9M007	AF	210
A9M845	AF	877
A9MB09	AF	214
A9MDU4	AF	502
A9MFC0	AF	118
A9MHM3	AF	454
A9MHS2	AF	403
A9MLE0	AF	463
A9MMA9	AF	901
A9MMQ2	AF	473
A9MT26	AF	72
A9MYN9	AF	569
A9N0Q5	AF	232
A9N3N1	AF	957
A9N9Z2	AF	564
A9NAH7	AF	372
A9NAL2	AF	174
A9NAY8	AF	63
A9NCN3	AF	859
A9NE65	AF	452
A9NEH3	AF	201
A9QYQ1	AF	548
A9QYY2	AF	323
A9R093	AF	667
A9R2G2	AF	430
A9R2N5	AF	154
A9R385	AF	176
A9R5A3	AF	884
A9R7D6	AF	951
A9R801	AF	424
A9VFG0	AF	190
A9VG56	AF	395
A9VJQ4	AF	312
A9VP73	AF	156
A9VSC7	AF	355
A9VT50	AF	688
A9VTA4	AF	314
A9W4C5	AF	203
A9W5L4	AF	228
A9WQ48	AF	310
A9WX00	AF	152
A9WXF1	AF	305
A9YTQ3-3	AF	715
A9YTQ3	AF	701
B0B818	AF	506
B0B888	AF	183
B0B8A6	AF	153
B0BC75	AF	157
B0BF33	AF	815
B0BPE2	AF	671
B0BRR3	AF	316
B0BSX2	AF	304
B0BUY7	AF	321
B0C432	AF	126
B0CCR3	AF	497
B0CS49	AF	487
B0JHZ5	AF	72
B0JNW9	AF	595
B0JSJ9	AF	67
B0JTP2	AF	108
B0JU70	AF	156
B0JXE2	AF	333
B0K1F7	AF	356
B0K2U1	AF	260
B0K3S3	AF	488
B0K5C5	AF	230
B0KAG0	AF	443
B0KCM6	AF	130
B0KF43	AF	254
B0KFQ2	AF	547
B0KL32	AF	473
B0KMQ6	AF	374
B0KNE3	AF	425
B0KS63	AF	875
B0R2Y4	AF	434
B0REW3	AF	318
B0RRB4	AF	916
B0RVD1	AF	159
B0RXX4	AF	283
B0RZU8	AF	68
B0SA19	AF	172
B0SMB9	AF	92
B0SXB0	AF	268
B0T2C9	AF	146
B0T2D6	AF	132
B0TA56	AF	148
B0TIW9	AF	609
B0TLI8	AF	490
B0TQB8	AF	271
B0TR28	AF	416
B0TR44	AF	859
B0TSG5	AF	966
B0TW44	AF	204
B0TWR4	AF	143
B0TX08	AF	172
B0U0Z3	AF	124
B0U399	AF	188
B0U3K6	AF	167
B0U5X8	AF	122
B0UD12	AF	435
B0UP55	AF	237
B0URM0	AF	966
B0US68	AF	476
B0UVJ6	AF	434
B0UWR4	AF	635
B0V2S2	AF	571
B0V6W1	AF	116
B0VD12	AF	253
B0VEJ5	AF	85
B0VR94	AF	151
B0WQG0	AF	723
B0XP71	AF	792
B0XPB8	AF	769
B0YBJ3	AF	766
B1A4F7	AF	776
B1AIN6	AF	121
B1GYY9	AF	177
B1H053	AF	244
B1HMV6	AF	129
B1HMX0	AF	122
B1HPA1	AF	311
B1HPJ4	AF	159
B1HT97	AF	338
B1HTW8	AF	95
B1IA75	AF	211
B1IA80	AF	930
B1ICM9	AF	520
B1IFW3	AF	294
B1IGG3	AF	123
B1II44	AF	87
B1IQP3	AF	312
B1IQT7	AF	103
B1IVB8	AF	457
B1IW01	AF	466
B1IXI9	AF	673
B1IZ53	AF	356
B1IZJ2	AF	382
B1J0M8	AF	336
B1J0S8	AF	316
B1J1W0	AF	276
B1JB25	AF	857
B1JIV0	AF	131
B1JJR1	AF	424
B1JL43	AF	529
B1JLY0	AF	892
B1JUD7	AF	389
B1KDX1	AF	88
B1KNR3	AF	569
B1KP56	AF	556
B1KTH1	AF	159
B1KX43	AF	164
B1L0A0	AF	149
B1L9R3	AF	423
B1LA15	AF	239
B1LBN4	AF	209
B1LC69	AF	757
B1LGT5	AF	283
B1LIW2	AF	517
B1LL68	AF	629
B1LME7	AF	714
B1LPI9	AF	549
B1LUL8	AF	441
B1MGA1	AF	138
B1MGH8	AF	701
B1MH84	AF	216
B1MHH1	AF	446
B1MW28	AF	436
B1MZW0	AF	78
B1N025	AF	865
B1P1G8	AF	86
B1VFZ9	AF	406
B1VGC2	AF	934
B1VMF3	AF	617
B1WRQ9	AF	598
B1WS51	AF	256
B1X6E8	AF	206
B1X9K2	AF	361
B1XAG6	AF	246
B1XAY4	AF	456
B1XDY2	AF	414
B1XHD4	AF	590
B1XJS8	AF	116
B1XJS9	AF	122
B1XT38	AF	580
B1XVN1	AF	248
B1Y3Q1	AF	213
B1Y8C6	AF	105
B1Y8G2	AF	437
B1YDP0	AF	296
B1YGX8	AF	123
B1YI68	AF	566
B1YJ02	AF	235
B1YK03	AF	64
B1YW20	AF	446
B1Z987	AF	309
B1Z9X0	AF	488
B1ZNE2	AF	210
B1ZNZ7	AF	212
B2A469	AF	644
B2A4X5	AF	308
B2A5V2	AF	95
B2AG98	AF	404
B2AGC8	AF	393
B2AGT7	AF	205
B2AL40	AF	834
B2B3C0	AF	373
B2D6K9-2	AF	776
B2D6K9	AF	778
B2D6P4	AF	508
B2FIA9	AF	268
B2FJ58	AF	712
B2FQ45	AF	216
B2G5I8	AF	297
B2G5S0	AF	227
B2G8W4	AF	132
B2GB72	AF	143
B2HI05	AF	550
B2HP60	AF	312
B2HTH6	AF	119
B2HVN5	AF	377
B2I4T1	AF	343
B2I726	AF	892
B2I7D4	AF	547
B2ICU4	AF	548
B2IK65	AF	279
B2IK80	AF	64
B2IM97	AF	200
B2IME4	AF	930
B2IN60	AF	60
B2J7T9	AF	871
B2JDV2	AF	267
B2JZF3	AF	466
B2K2P8	AF	209
B2K5N7	AF	124
B2K6Z1	AF	187
B2K755	AF	78
B2K7E5	AF	137
B2K8E3	AF	192
B2K906	AF	323
B2KC86	AF	341
B2KDK9	AF	556
B2KE60	AF	293
B2KEM8	AF	159
B2KJ30	AF	78
B2RIE4	AF	311
B2RU33	AF	542
B2RZJ4	AF	218
B2S0J0	AF	84
B2S100	AF	228
B2S1E1	AF	861
B2S1K1	AF	245
B2S1V1	AF	464
B2S2D1	AF	154
B2S3P7	AF	150
B2S513	AF	438
B2S7K3	AF	59
B2S801	AF	169
B2SEE2	AF	359
B2SEK8	AF	269
B2SF23	AF	525
B2SH45	AF	455
B2SHW2	AF	431
B2SJF5	AF	241
B2SPN6	AF	480
B2STJ5	AF	439
B2SUB8	AF	210
B2SYJ7	AF	521
B2T740	AF	102
B2TJ31	AF	238
B2TNB5	AF	663
B2TV25	AF	548
B2TVS0	AF	190
B2TXF7	AF	610
B2TXQ2	AF	237
B2TZC9	AF	366
B2TZV6	AF	283
B2U0T0	AF	219
B2U1F8	AF	946
B2U3T3	AF	367
B2U523	AF	213
B2U7W2	AF	328
B2UT36	AF	451
B2UY12	AF	156
B2V1T2	AF	147
B2V693	AF	763
B2V855	AF	485
B2VF77	AF	213
B2VG77	AF	355
B2VG94	AF	167
B2VJ55	AF	230
B2VK60	AF	92
B2VK63	AF	201
B3CNB5	AF	637
B3CT31	AF	90
B3CTT8	AF	164
B3E159	AF	141
B3E610	AF	376
B3EE24	AF	418
B3EE36	AF	481
B3EER6	AF	188
B3EL44	AF	624
B3ER84	AF	342
B3EUD6	AF	103
B3F211	AF	265
B3GY37	AF	591
B3H1A1	AF	188
B3H2Q1	AF	205
B3KU38	AF	563
B3LT39	AF	761
B3MJV4	AF	939
B3NY19	AF	781
B3PIT8	AF	638
B3PM27	AF	230
B3Q0T5	AF	321
B3Q7K1	AF	186
B3QBV6	AF	129
B3QBW7	AF	101
B3QKL9	AF	514
B3QKT6	AF	311
B3QQ93	AF	237
B3QTC8	AF	420
B3QY29	AF	120
B3QYR1	AF	503
B3R474	AF	176
B3R794	AF	256
B3W9M6	AF	243
B4E5C1	AF	206
B4E7L2	AF	132
B4E7Y8	AF	299
B4EBE8	AF	275
B4EU12	AF	357
B4EUD8	AF	236
B4EVR6	AF	420
B4EX28	AF	147
B4EY76	AF	237
B4F0U5	AF	466
B4F1J5	AF	104
B4F2B2	AF	209
B4F2D3	AF	241
B4F2M5	AF	143
B4HND9	AF	680
B4IX08	AF	609
B4IXG1	AF	434
B4J045	AF	624
B4R8N0	AF	101
B4RC79	AF	938
B4RMH7	AF	150
B4S5A2	AF	203
B4S9B2	AF	160
B4S9K2	AF	290
B4SCR5	AF	627
B4SDT6	AF	525
B4SE11	AF	72
B4SLI5	AF	328
B4SSQ6	AF	641
B4SUJ5	AF	432
B4SWD9	AF	252
B4SWQ9	AF	156
B4SZ85	AF	729
