uniprot_id	database	sequence_length
A0A7M4BDQ2	AF	612
A0A7T8F1L3	AF	289
A0A7U2QYM2	AF	402
A0A861B9Z9	AF	668
A0A8G1A3Q5	AF	523
A0A8M1NHK4	AF	600
A0A8M1PIL7	AF	526
A0A8M2	AF	471
A0A8U0LTF5	AF	76
A0A8U1C2Y4	AF	686
A0AAD6NMH5	AF	400
A0AAN4PD52	AF	623
A0AAN4PT81	AF	405
A0AAN4T7P3	AF	478
A0AEI6	AF	72
A0ALV7	AF	103
A0AQW4	AF	356
A0B466	AF	313
A0B966	AF	564
A0FKG7	AF	813
A0JME2	AF	815
A0JMF8	AF	765
A0JMU8	AF	686
A0JMZ1	AF	496
A0JNC2	AF	989
A0JNH1	AF	727
A0JNJ3	AF	668
A0JNT9-2	AF	120
A0JNT9-3	AF	269
A0JNT9	AF	577
A0JPN1	AF	476
A0JUU0	AF	968
A0K5P6	AF	225
A0KBG3	AF	447
A0KBH0	AF	381
A0KCQ9	AF	438
A0KGL5	AF	955
A0KVZ2	AF	444
A0LLA7	AF	388
A0LRM6	AF	341
A0MWD1	AF	710
A0MZ67-2	AF	456
A0MZ67	AF	633
A0PA85	AF	594
A0PV29	AF	227
A0Q5X2	AF	365
A0QNH4	AF	692
A0QPN1	AF	713
A0QRG8	AF	375
A0QS28	AF	554
A0QSL3	AF	73
A0QWX9	AF	371
A0R0B0	AF	929
A0R0W9	AF	668
A0R5M7	AF	371
A0R607	AF	460
A0RBE9	AF	365
A0RHU2	AF	157
A0RHU5	AF	393
A0RYF4	AF	171
A0SVK0-2	AF	276
A0SWL0	AF	473
A0ZSK3	AF	703
A1A4J7	AF	999
A1A5I1	AF	259
A1A5Q0	AF	549
A1A799	AF	125
A1AVC2	AF	567
A1AVK8	AF	62
A1AW71	AF	278
A1AYS1	AF	466
A1BPI0-2	AF	86
A1BPI0	AF	243
A1CGA8	AF	845
A1CQ80	AF	721
A1CSZ4	AF	211
A1CTL8	AF	774
A1CWA9	AF	360
A1CXQ2	AF	258
A1D858	AF	574
A1DC62	AF	468
A1DZZ3	AF	213
A1E960	AF	273
A1EA43	AF	107
A1IGU5	AF	675
A1JJW5	AF	443
A1JL12	AF	677
A1KGI5	AF	280
A1KKF3	AF	291
A1KLQ2	AF	170
A1KUK4	AF	166
A1KV88	AF	367
A1L017	AF	125
A1L1F6	AF	843
A1L1I3	AF	614
A1L1K8	AF	411
A1L3T7	AF	938
A1R1C3	AF	100
A1RGW7	AF	209
A1RL90	AF	434
A1RRV7	AF	412
A1RS32	AF	632
A1RXG2	AF	141
A1S1Z4	AF	367
A1S7K4	AF	665
A1SHW4	AF	86
A1STT0	AF	395
A1TD35	AF	223
A1V194	AF	416
A1VJG0	AF	136
A1VZW5	AF	291
A1WQW2	AF	353
A1X154	AF	477
A1XCI9	AF	191
A1XDC0	AF	894
A1Y9I9	AF	258
A1YKT1-2	AF	429
A1Z6S7	AF	635
A1Z9E2-2	AF	560
A1Z9E2	AF	950
A1ZA92	AF	995
A1ZBY1	AF	650
A2A3L6	AF	582
A2A3N6	AF	862
A2AA28	AF	253
A2AD83	AF	703
A2AEY4-2	AF	846
A2AG06	AF	965
A2AHG0-2	AF	586
A2AI05-2	AF	531
A2AJB1-2	AF	310
A2AJT9	AF	711
A2ARK0	AF	776
A2AU72-2	AF	684
A2AU72	AF	881
A2CEH0	AF	490
A2Q9N1	AF	758
A2QAB5	AF	729
A2QE29	AF	642
A2QGF0	AF	726
A2QNQ8	AF	819
A2RBA1	AF	458
A2RD55	AF	171
A2REE2	AF	192
A2RHI6	AF	151
A2RMQ1	AF	447
A2RRH5-2	AF	730
A2RRH5-3	AF	112
A2RRU1	AF	738
A2RRV3	AF	765
A2RU49-2	AF	172
A2RU49-3	AF	220
A2RU49	AF	373
A2RUW1	AF	274
A2RV06-2	AF	615
A2RVQ5-2	AF	145
A2RVQ5	AF	240
A2S514	AF	68
A2S997	AF	101
A2T2X4	AF	344
A2WY46	AF	680
A2XY47	AF	104
A2YMV6-2	AF	654
A2Z1N3	AF	232
A2ZLU6	AF	694
A2ZRG4	AF	830
A3ABE1	AF	495
A3CN22	AF	356
A3CTA1	AF	315
A3CVQ1	AF	174
A3CWH6	AF	149
A3CWI6	AF	205
A3CWY7	AF	97
A3CX23	AF	101
A3DFA0	AF	842
A3DIJ8	AF	156
A3DNC9	AF	152
A3KGW5	AF	592
A3KPF5	AF	537
A3LPY4	AF	628
A3LRF0	AF	587
A3LVY7	AF	194
A3LXX5	AF	147
A3LZT3	AF	931
A3MMM6	AF	84
A3MTR6	AF	299
A3MU00	AF	946
A3N8J6	AF	397
A3PGF2	AF	117
A3Q6V9	AF	314
A3QBW6	AF	258
A3QI50	AF	75
A3RXB7	AF	508
A4D161-2	AF	262
A4D161-3	AF	204
A4D1E9-2	AF	308
A4D1E9-3	AF	116
A4D1E9	AF	387
A4D1F6-2	AF	116
A4D1F6	AF	860
A4D9U3	AF	748
A4FBE9	AF	143
A4FMD5	AF	249
A4FNQ1	AF	211
A4FV84	AF	239
A4G2M4	AF	219
A4G6Y1	AF	67
A4HSC9	AF	833
A4IF98	AF	624
A4IFA3	AF	950
A4IFD0	AF	562
A4IFF3	AF	171
A4IFI1	AF	688
A4IHY0	AF	314
A4II46	AF	862
A4IIK1	AF	997
A4IK94	AF	240
A4IT51	AF	494
A4JAG1	AF	142
A4JHT1	AF	274
A4JI72	AF	251
A4JPY1	AF	615
A4Q998-2	AF	286
A4QMS7	AF	147
A4QNW7-2	AF	331
A4QP72	AF	534
A4SP53	AF	230
A4SY78	AF	920
A4TM15	AF	171
A4VJS2	AF	287
A4VQH5	AF	248
A4W488	AF	397
A4W7F7	AF	624
A4WAM9	AF	76
A4WFB6	AF	179
A4WHB4	AF	94
A4X3Q0	AF	283
A4XQL6	AF	172
A4Y1D2	AF	188
A4Y8Y3	AF	304
A4YBR8	AF	108
A4YBY8	AF	124
A4YK44	AF	65
A4YKF0	AF	192
A4ZDL6	AF	134
A5CE97	AF	330
A5CWR4	AF	92
A5D785	AF	971
A5D7L8	AF	901
A5DSS9	AF	437
A5DXC3	AF	513
A5E3K3	AF	775
A5E7I7	AF	988
A5EVA6	AF	126
A5F376	AF	144
A5F6C4	AF	376
A5F7A4	AF	781
A5FLE7	AF	341
A5FM31	AF	237
A5FWV7	AF	487
A5G3J9	AF	155
A5GL48	AF	78
A5GNP9	AF	56
A5HNF6	AF	299
A5IS64	AF	143
A5IUY1	AF	326
A5IVU3	AF	654
A5LHG2	AF	108
A5U406	AF	76
A5U6Z7	AF	214
A5UBF3	AF	444
A5UJN3	AF	123
A5UL69	AF	193
A5ULV0	AF	254
A5UWE5	AF	305
A5VMB3	AF	238
A5VNL0	AF	280
A5WFR0	AF	659
A5WVX1	AF	690
A5X2X1	AF	152
A6BLW4	AF	246
A6H687	AF	427
A6H6E2-2	AF	417
A6H6E2	AF	943
A6H759	AF	288
A6H8T2-2	AF	711
A6HD62	AF	304
A6KYJ7	AF	705
A6L8H5	AF	365
A6LGF6	AF	721
A6LKW9	AF	368
A6LUD2	AF	236
A6LXM3	AF	148
A6NC42	AF	116
A6NC57	AF	917
A6NE02	AF	478
A6NER3	AF	117
A6NF01	AF	834
A6NFD8-4	AF	241
A6NFN3	AF	312
A6NIY4	AF	402
A6NJV1	AF	201
A6NKF2	AF	412
A6NLX3	AF	237
A6NM43	AF	557
A6NNW6-2	AF	308
A6NNW6-4	AF	363
A6NNW6	AF	625
A6NNY8	AF	438
A6PVS8-2	AF	299
A6PVS8-3	AF	199
A6PVS8	AF	624
A6Q0K5	AF	107
A6QCS2	AF	124
A6QFV3	AF	91
A6QFX5	AF	84
A6QGP7	AF	373
A6QLL0	AF	456
A6QLP2	AF	611
A6QLU3	AF	694
A6QLW2	AF	355
A6QLY7	AF	727
A6QNQ6	AF	757
A6RIE1	AF	368
A6RY31	AF	538
A6SK19	AF	936
A6SZ04	AF	296
A6TRU2	AF	335
A6U636	AF	111
A6USJ0	AF	537
A6UUS0	AF	224
A6UVQ1	AF	501
A6UW55	AF	173
A6UWV0	AF	244
A6UX24	AF	349
A6UX54	AF	194
A6UX80	AF	310
A6VH19	AF	159
A6WCF6	AF	188
A6X3N5	AF	371
A6X5N3	AF	175
A6XMY0	AF	64
A6YB85	AF	98
A6ZL17	AF	924
A6ZME2	AF	714
A6ZMK0	AF	489
A6ZQ59	AF	578
A6ZR64	AF	799
A6ZT54	AF	465
A6ZTU2	AF	704
A6ZV04	AF	620
A6ZVS0	AF	993
A6ZYV5	AF	944
A7A134	AF	748
A7A1P0	AF	717
A7B558	AF	374
A7DTF0-2	AF	335
A7E5J5	AF	475
A7ER98	AF	121
A7FKS6	AF	94
A7FMC3	AF	289
A7FWJ3	AF	137
A7GEA6	AF	193
A7GVD1	AF	74
A7H0Z4	AF	133
A7H543	AF	358
A7HAB8	AF	805
A7HN65	AF	415
A7HNV7	AF	425
A7HQQ0	AF	550
A7I4I0	AF	302
A7I5Q0	AF	121
A7KAI6	AF	628
A7KAJ8	AF	701
A7LXU3	AF	786
A7M6E8	AF	754
A7MB80	AF	978
A7MBH5	AF	621
A7MF59	AF	406
A7MUE1	AF	425
A7NQU3	AF	88
A7NR67	AF	157
A7RDN6-2	AF	259
A7RDN6	AF	342
A7SCE5-2	AF	23
A7THU9	AF	929
A7WYY0	AF	292
A7X1D2	AF	187
A7X1N2	AF	257
A7YVH9	AF	502
A7YWP4	AF	657
A7Z305	AF	314
A7Z4Y0	AF	746
A7ZFZ0	AF	122
A7ZHL0	AF	288
A7ZHS2	AF	382
A7ZML6	AF	406
A7ZYW2	AF	164
A8A6N3	AF	494
A8A707	AF	489
A8A746	AF	105
A8A8V6	AF	97
A8AD50	AF	243
A8ALR4	AF	380
A8ANQ0	AF	61
A8BCK6	AF	900
A8BE61	AF	569
A8BGV3	AF	431
A8BS40	AF	529
A8C7S1	AF	289
A8E4N3	AF	606
A8E657	AF	926
A8E7G4	AF	349
A8EQT0	AF	438
A8EVR0	AF	62
A8FKT3	AF	183
A8FP38	AF	127
A8FTT1	AF	712
A8FWJ5	AF	221
A8G657	AF	172
A8GCI7	AF	440
A8GQ65	AF	289
A8GQG2	AF	360
A8GUT7	AF	255
A8HA92	AF	562
A8HUA1	AF	863
A8HYP5	AF	272
A8I4E9	AF	576
A8IN83	AF	94
A8IRK7	AF	815
A8IUG5	AF	795
A8JB22	AF	573
A8JF70	AF	552
A8JHB7	AF	611
A8LHY2	AF	95
A8LRY5	AF	235
A8LY23	AF	88
A8MK46	AF	93
A8MQX3	AF	82
A8MTA8-2	AF	216
A8MTA8	AF	275
A8MTQ0	AF	251
A8MW99	AF	385
A8NIX5	AF	503
A8QCV7	AF	475
A8T6A6	AF	690
A8WJR8	AF	815
A8WL06	AF	725
A8WP66	AF	871
A8WRJ2	AF	752
A8WSQ9	AF	864
A8WU31	AF	559
A8WWH5	AF	439
A8XI74	AF	277
A8XT81	AF	148
A8XYW9	AF	671
A8YPR6	AF	308
A8Z1P7	AF	91
A8Z389	AF	229
A9A0L3	AF	260
A9A698	AF	178
A9A699	AF	77
A9A6M9	AF	340
A9A837	AF	213
A9A8N0	AF	83
A9AL79	AF	235
A9IW77	AF	290
A9KGR6	AF	97
A9KQ75	AF	724
A9MGA5	AF	180
A9MPU2	AF	378
A9MVP4	AF	561
A9N717	AF	100
A9NF94	AF	122
A9Q751	AF	836
A9R1G4	AF	126
A9UL13	AF	957
A9ULB4	AF	78
A9VSR3	AF	270
A9W3I1	AF	372
A9WFH2	AF	359
A9WHR4	AF	148
A9XMT3	AF	518
A9YTQ3-2	AF	719
A9ZLL8	AF	757
A9ZPC9	AF	799
A9ZPH9	AF	444
B0B7Y9	AF	83
B0BA88	AF	465
B0BBU1	AF	208
B0BBY3	AF	196
B0BCM0	AF	102
B0BCM4	AF	330
B0BN28	AF	254
B0BR65	AF	71
B0BTF1	AF	251
B0BTG8	AF	176
B0BTX9	AF	412
B0BWC3	AF	493
B0BWJ8	AF	166
B0C250	AF	243
B0CM26	AF	941
B0CXQ2	AF	485
B0G0Y5	AF	971
B0JZ65	AF	691
B0KS44	AF	569
B0KZ79	AF	86
B0R061	AF	972
B0R515	AF	210
B0R5A9	AF	392
B0R5M0	AF	68
B0RVK4	AF	242
B0S1M1	AF	137
B0SDN6	AF	198
B0UCS0	AF	349
B0UE10	AF	299
B0UQ03	AF	352
B0VP26	AF	336
B0VR13	AF	124
B0W939	AF	160
B0X755	AF	997
B0XFQ9	AF	427
B0XTS1	AF	696
B0Y565	AF	738
B0Y7I1	AF	601
B0YA45	AF	812
B0Z580	AF	122
B1A958	AF	117
B1AIR7	AF	55
B1AK53-2	AF	288
B1AK53	AF	854
B1AL46	AF	878
B1ARY8	AF	786
B1B0V2-2	AF	468
B1B0V2	AF	589
B1H228	AF	694
B1I8K2	AF	93
B1IDA0	AF	409
B1IPI8	AF	191
B1IWF2	AF	456
B1J1B4	AF	160
B1J4W2	AF	215
B1JQ63	AF	878
B1L821	AF	197
B1LJ05	AF	101
B1LJX2	AF	203
B1MD16	AF	204
B1ME65	AF	299
B1NY81	AF	312
B1P1B9	AF	63
B1P1E7	AF	77
B1V8K7	AF	727
B1VH88	AF	253
B1XBY7	AF	165
B1Y0P9	AF	487
B1Y6R5	AF	262
B1Y8E1	AF	191
B1YCL7	AF	178
B1YIY3	AF	389
B1ZJM3	AF	169
B1ZNE0	AF	66
B1ZUE6	AF	315
B2AFA8	AF	775
B2B4I8	AF	660
B2C6R6	AF	681
B2D6K9-3	AF	717
B2D6P4-2	AF	505
B2FSQ5	AF	106
B2GV52	AF	187
B2GV91	AF	88
B2I7R6	AF	121
B2IDX8	AF	173
B2ILU3	AF	378
B2IYW1	AF	568
B2J528	AF	569
B2K7H7	AF	309
B2K828	AF	164
B2K8S8	AF	334
B2MW54	AF	78
B2RGM5	AF	473
B2RHR8	AF	84
B2RML5	AF	545
B2RS91	AF	656
B2RUY7-2	AF	138
B2RUY7	AF	222
B2RXR6	AF	993
B2RYU6	AF	139
B2RZ50	AF	212
B2S6Z6	AF	207
B2SE44	AF	275
B2TJH6	AF	581
B2TY69	AF	284
B2TZH2	AF	244
B2U0S6	AF	192
B2U249	AF	304
B2ULP6	AF	57
B2US42	AF	621
B2UV11	AF	142
B2V3W5	AF	88
B2VH13	AF	215
B2W722	AF	250
B2ZX90	AF	940
B3A0P1	AF	977
B3A0Q9	AF	121
B3BM81	AF	167
B3EKM6	AF	217
B3EWF3	AF	86
B3EWP3	AF	71
B3EWR1	AF	187
B3EWR6	AF	361
B3EWX6	AF	79
B3FWS5	AF	628
B3GSH5	AF	432
B3GYL3	AF	274
B3H285	AF	219
B3H453	AF	132
B3H5J1	AF	88
B3H5Q2	AF	111
B3KU38-2	AF	536
B3LMH0	AF	580
B3MMA5	AF	791
B3N9E4	AF	845
B3QLU3	AF	222
B3TMR8	AF	332
B3VBK9	AF	228
B3WED3	AF	208
B4EG09	AF	246
B4F7C4	AF	995
B4F7F3	AF	973
B4F8Z1	AF	691
B4FK49	AF	149
B4GEL3	AF	785
B4HKJ7	AF	998
B4HWI2	AF	964
B4I7U3	AF	222
B4IBY5	AF	689
B4JAS7	AF	337
B4JWA1	AF	411
B4JWS7	AF	385
B4JYN3	AF	796
B4KE73	AF	679
B4LJT7	AF	331
B4MQL4	AF	205
B4MX71	AF	539
B4MXR8	AF	787
B4P0U1	AF	950
B4PIS2	AF	582
B4QB64	AF	668
B4QCR6	AF	947
B4S4S0	AF	428
B4SDP5	AF	194
B4SUU0	AF	209
B4SW68	AF	122
B4SYR2	AF	335
B4T1Z1	AF	702
B4T556	AF	109
B4TGF8	AF	80
B4TKD5	AF	239
B4TNH8	AF	193
B4TUY8	AF	341
B4U108	AF	761
B4UDE1	AF	434
B5BUZ8	AF	675
B5CY96	AF	728
B5DZ31	AF	160
B5E1Y8	AF	242
B5EIQ7	AF	244
B5EXF9	AF	139
B5F1U0	AF	400
B5FB67	AF	476
B5FHH0	AF	256
B5FVI0	AF	99
B5L3X1	AF	237
B5LUQ8	AF	103
B5LUQ9	AF	132
B5QU79	AF	323
B5XJZ9	AF	91
B5XK69	AF	590
B5XRB0	AF	925
B5YEG9	AF	246
B5YFB8	AF	453
B5YIQ8	AF	279
B5YWX8	AF	94
B5YXP8	AF	660
B5ZB39	AF	101
B5ZC48	AF	229
B5ZMI9	AF	95
B6A882	AF	970
B6DCM8	AF	107
B6EIU9	AF	75
B6EP41	AF	117
B6EUA9	AF	958
B6I276	AF	102
B6I697	AF	377
B6I7H1	AF	419
B6J6S3	AF	547
B6JM52	AF	594
B6JPI5	AF	129
B6QTV3	AF	113
B6SFA4	AF	818
B6V866	AF	538
B6YR69	AF	354
B6YXU4	AF	171
B6ZK72	AF	282
B7F7B9	AF	963
B7FAS6-2	AF	251
B7FAS6	AF	455
B7GFT7	AF	228
B7GML0	AF	275
B7GQC3	AF	64
B7GX14	AF	303
B7K7R4	AF	182
B7LMJ3	AF	303
B7LZJ8	AF	66
B7M0D4	AF	517
B7M1P9	AF	72
B7M1S1	AF	457
B7M392	AF	62
B7M885	AF	150
B7MMA1	AF	297
B7MWU0	AF	356
B7MY19	AF	616
B7N1Z1	AF	137
B7N5H1	AF	162
B7N7Y9	AF	120
B7N832	AF	128
B7NDV3	AF	128
B7NEU6	AF	213
B7NH49	AF	259
B7NPS4	AF	321
B7SP66	AF	345
B7SUM8	AF	132
B7UM74	AF	693
B7VKR6	AF	90
B7XDF1	AF	170
B7Z0L8	AF	178
B7ZNG4	AF	668
B7ZS96	AF	153
B8B2G4	AF	984
B8D6W5	AF	142
B8DNB2	AF	119
B8DWC0	AF	382
B8EMP4	AF	247
B8G1Y4	AF	60
B8H776	AF	78
B8HA88	AF	132
B8HD21	AF	197
B8HTT7	AF	109
B8HU56	AF	97
B8I0R5	AF	514
B8I2Z7	AF	68
B8J4G0	AF	165
B8JDD8	AF	701
B8JH75	AF	257
B8MDP8	AF	160
B8MSM6	AF	341
B8NGU1	AF	839
B8NKA3	AF	629
B8QG00	AF	74
B8V7R6	AF	888
B8X8Z0	AF	171
B8XY56	AF	240
B8Y6I0	AF	786
B8YG19	AF	671
B8ZV94	AF	526
B9DFA8	AF	664
B9F2U5	AF	680
B9F676	AF	919
B9IRL0	AF	242
B9ISQ6	AF	158
B9IVP2	AF	178
B9IY83	AF	338
B9J7E0	AF	154
B9K2Z2	AF	107
B9K767	AF	360
B9K7B8	AF	512
B9K7J6	AF	207
B9KAS1	AF	229
B9KDM8	AF	387
B9L044	AF	123
B9LP84	AF	276
B9M6F1	AF	181
B9MQW7	AF	81
B9VRJ2	AF	321
C0H3X8	AF	90
C0H537	AF	781
C0H906	AF	796
C0HJD7	AF	72
C0HJN8	AF	910
C0HK26	AF	74
C0HK94	AF	163
C0HL82	AF	81
C0HLS4	AF	77
C0HLV2	AF	380
C0HM01	AF	71
C0HM83	AF	58
C0HM98	AF	186
C0LTL9	AF	596
C0LU16	AF	139
C0MCB7	AF	137
C0PZV1	AF	429
C0QKX5	AF	77
C0R292	AF	281
C0R3N5	AF	422
C0RFB8	AF	248
C0SP85	AF	97
C0ZZV2	AF	591
C1A1D6	AF	271
C1CEV1	AF	245
C1CH91	AF	425
C1CJS5	AF	236
C1D0F7	AF	357
C1DC78	AF	210
C1DFU4	AF	365
C1DJ58	AF	299
C1ELG5	AF	955
C1EUA7	AF	209
C1EVJ4	AF	298
C1F540	AF	393
C1H7M6	AF	864
C1I202	AF	207
C1JZ66	AF	522
C3KVS6	AF	229
C3KWB8	AF	257
C3L1B0	AF	461
C3L3J1	AF	201
C3L5M2	AF	297
C3L744	AF	210
C3L8X1	AF	312
C3LJ40	AF	291
C3LMJ0	AF	160
C3LRS3	AF	69
C3M9A8	AF	191
C3MAG3	AF	124
C3MG45	AF	149
C3MU32	AF	139
C3MYR0	AF	310
C3NHT6	AF	530
C3P7R6	AF	255
C3PGA2	AF	63
C3PKD8	AF	309
C3PM73	AF	95
C3PNP6	AF	219
C3TS10	AF	72
C4A0D9	AF	694
C4L191	AF	842
C4L192	AF	605
C4LK80	AF	720
C4XIS1	AF	79
C4Y1P0	AF	671
C4YSJ2	AF	377
C4ZTY0	AF	57
C4ZU91	AF	400
C4ZZQ4	AF	201
C5A132	AF	165
C5A136	AF	202
C5A1H1	AF	76
C5A1L9	AF	503
C5BV37	AF	326
C5DY82	AF	565
C5E3I1	AF	129
C5J8E3	AF	62
C5M3F1	AF	264
C5M5V4	AF	506
C5MR76	AF	107
C6A3R1	AF	199
C6AQR4	AF	234
C6E500	AF	197
C6EVG7	AF	178
C6KRN1-4	AF	228
C6X3B5	AF	282
C7ASJ5	AF	694
C7C436	AF	472
C7G3K3	AF	80
C7GQ59	AF	864
C8V4D4	AF	585
C8VQG9	AF	374
C9JR72	AF	458
C9RLJ9	AF	689
C9SDH0	AF	380
C9WPN6	AF	472
D0N0F2	AF	157
D0NP16	AF	130
D0NPN8	AF	147
D0NRS4	AF	760
D0QMC3	AF	538
D0ZVG2	AF	700
D1AB53	AF	228
D2GZV9	AF	433
D2HXI8	AF	882
D2PPM7	AF	723
D2TP58	AF	260
D2XV59	AF	669
D2Y100	AF	68
D2Y209	AF	85
D2Y261	AF	113
D2Y499	AF	97
D3GDK4	AF	225
D3GKW6	AF	84
D3JV03	AF	548
D3YXK2	AF	937
D3Z8X7-2	AF	913
D3ZCM9	AF	583
D3ZTE0	AF	595
D3ZVB0	AF	876
D3ZZN9	AF	735
D4A2B7	AF	747
D4AK46	AF	340
D4ATM6	AF	245
D4ATR3	AF	770
D4AUF1	AF	924
D4AYT4	AF	616
D4B4P1	AF	408
D4GSD6	AF	375
D4GTA5	AF	420
D4GYG6	AF	371
D5EXZ4	AF	671
D5EY13	AF	726
D5L5Q8	AF	65
D6C4I5	AF	63
D7SSD8	AF	261
D8VNT0	AF	345
D9IVE5	AF	432
D9PY12	AF	212
D9U298	AF	83
E0W544	AF	140
E0Y3X1	AF	452
E1ABX2	AF	537
E1ACP6	AF	339
E1W823	AF	254
E1WKT5	AF	318
E2RYF8	AF	891
E3M3V1	AF	779
E3PRJ5	AF	519
E3VWK2	AF	275
E5AV36	AF	771
E5AW45	AF	997
E5Y379	AF	484
E6LHV7	AF	755
E6YBW4	AF	157
E6Z0R3	AF	478
E7CLN3	AF	65
E7CY69	AF	757
E7F1H9-2	AF	596
E7GT88	AF	144
E7KCH3	AF	218
E7QAA9	AF	253
E9P162	AF	523
E9P8D2	AF	229
E9PT87	AF	786
E9PYY5-2	AF	611
E9PYY5-3	AF	320
E9PYY5	AF	807
E9Q5C9-2	AF	664
E9Q6B2	AF	420
E9Q7M2-2	AF	745
E9Q7M2-3	AF	116
E9RD40	AF	797
F0E1K6	AF	282
F0NDL2	AF	715
F1DBB3	AF	398
F1LQ48-2	AF	245
F1LQ48	AF	623
F1M7L9-2	AF	795
F1MF21	AF	582
F1P3Y5	AF	131
F1Q7Z7	AF	469
F1Q8W0-2	AF	252
F1R777	AF	584
F2JXJ3	AF	726
F2RB81	AF	963
F4HR11	AF	971
F4HVA6-2	AF	504
F4HVZ5	AF	279
F4HXU3-2	AF	138
F4HXU3-3	AF	96
F4I114	AF	714
F4I2H2	AF	862
F4I3B3	AF	445
F4I594	AF	997
F4I700	AF	717
F4I907	AF	358
F4I9J7	AF	202
F4ICD9	AF	969
F4IGZ2-2	AF	491
F4IGZ2	AF	910
F4IHL3	AF	641
F4IHY7	AF	527
F4IIS6	AF	98
F4IJK1	AF	947
F4IV45	AF	877
F4IY62	AF	883
F4J078	AF	125
F4J117	AF	591
F4J1G1	AF	576
F4J3S1	AF	572
F4JC20	AF	997
F4JCB3	AF	640
F4JEI8	AF	317
F4JG10	AF	752
F4JGP4	AF	790
F4JH53	AF	635
F4JHA2-2	AF	883
F4JI44-2	AF	879
F4JP46	AF	328
F4JRB0-2	AF	356
F4JU69	AF	506
F4JUL9	AF	169
F4JVH1	AF	907
F4K2R6-2	AF	555
F4K3X8	AF	977
F4K460	AF	653
F4K4J0-2	AF	702
F4K6X0	AF	121
F4K933	AF	483
F4KAF2	AF	800
F4KFT7-2	AF	571
F4KGQ0-2	AF	359
F5A894	AF	710
F5B8W5	AF	605
F5GUE5-2	AF	287
F5HKX0	AF	401
F6N7K6	AF	968
F6R2G2	AF	997
F6W8I0	AF	251
F6X2V8	AF	280
F6Z5C0	AF	982
F7DP49	AF	596
F7IW82	AF	431
F7J0M4	AF	996
F8G0M4	AF	393
F8G0P2	AF	482
F8L6R0	AF	743
F8RP11	AF	581
F9UST4	AF	276
